ID,Название,Дата начала,Статус
3543,Project 3543,2023-06-30,В процессе
3544,Project 3544,2023-06-17,Завершен
3545,Project 3545,2023-09-16,Завершен
3546,Project 3546,2023-03-16,Завершен
3547,Project 3547,2023-03-07,В процессе
3548,Project 3548,2023-08-11,В процессе
3549,Project 3549,2023-01-24,В процессе
3550,Project 3550,2023-05-10,В процессе
3551,Project 3551,2023-06-10,Завершен
3552,Project 3552,2023-12-08,В процессе
3553,Project 3553,2023-10-14,В процессе
3554,Project 3554,2023-10-28,Завершен
3555,Project 3555,2023-03-28,Завершен
3556,Project 3556,2023-03-26,Завершен
3557,Project 3557,2023-11-21,В процессе
3558,Project 3558,2023-06-21,В процессе
3559,Project 3559,2023-11-27,Завершен
3560,Project 3560,2023-07-22,Завершен
3561,Project 3561,2023-11-09,Завершен
3562,Project 3562,2023-05-23,Завершен
3563,Project 3563,2023-10-12,В процессе
3564,Project 3564,2023-06-18,В процессе
3565,Project 3565,2023-11-18,В процессе
3566,Project 3566,2023-02-28,В процессе
3567,Project 3567,2023-07-30,В процессе
3568,Project 3568,2023-09-20,Завершен
3569,Project 3569,2023-02-15,В процессе
3570,Project 3570,2023-02-14,В процессе
3571,Project 3571,2023-08-10,В процессе
3572,Project 3572,2023-10-21,В процессе
3573,Project 3573,2023-04-03,Завершен
3574,Project 3574,2023-12-11,Завершен
3575,Project 3575,2023-11-16,В процессе
3576,Project 3576,2023-07-02,Завершен
3577,Project 3577,2023-07-21,В процессе
3578,Project 3578,2023-02-10,В процессе
3579,Project 3579,2023-05-27,В процессе
3580,Project 3580,2023-11-30,Завершен
3581,Project 3581,2023-09-13,Завершен
3582,Project 3582,2023-11-23,В процессе
3583,Project 3583,2023-12-20,Завершен
3584,Project 3584,2023-12-10,В процессе
3585,Project 3585,2023-12-04,Завершен
3586,Project 3586,2023-02-08,В процессе
3587,Project 3587,2023-10-09,Завершен
3588,Project 3588,2023-03-25,В процессе
3589,Project 3589,2023-03-01,Завершен
3590,Project 3590,2023-05-25,В процессе
3591,Project 3591,2023-12-23,В процессе
3592,Project 3592,2023-10-06,Завершен
3593,Project 3593,2023-11-20,В процессе
3594,Project 3594,2023-05-21,Завершен
3595,Project 3595,2023-04-29,В процессе
3596,Project 3596,2023-02-18,В процессе
3597,Project 3597,2023-04-23,В процессе
3598,Project 3598,2023-09-27,Завершен
3599,Project 3599,2023-11-23,В процессе
3600,Project 3600,2023-04-02,В процессе
3601,Project 3601,2023-05-10,Завершен
3602,Project 3602,2023-01-03,Завершен
3603,Project 3603,2023-08-06,Завершен
3604,Project 3604,2023-11-23,В процессе
3605,Project 3605,2023-06-20,Завершен
3606,Project 3606,2023-03-29,В процессе
3607,Project 3607,2023-08-18,Завершен
3608,Project 3608,2023-07-22,Завершен
3609,Project 3609,2023-06-04,В процессе
3610,Project 3610,2023-08-09,В процессе
3611,Project 3611,2023-08-26,В процессе
3612,Project 3612,2023-04-03,В процессе
3613,Project 3613,2023-08-09,Завершен
3614,Project 3614,2023-11-26,В процессе
3615,Project 3615,2023-03-05,В процессе
3616,Project 3616,2023-10-28,Завершен
3617,Project 3617,2023-03-31,В процессе
3618,Project 3618,2023-05-14,В процессе
3619,Project 3619,2023-05-08,В процессе
3620,Project 3620,2023-01-25,В процессе
3621,Project 3621,2023-12-06,Завершен
3622,Project 3622,2023-10-04,В процессе
3623,Project 3623,2023-06-30,Завершен
3624,Project 3624,2023-11-25,Завершен
3625,Project 3625,2023-02-04,Завершен
3626,Project 3626,2023-11-09,В процессе
3627,Project 3627,2023-08-05,Завершен
3628,Project 3628,2023-07-27,В процессе
3629,Project 3629,2023-07-13,Завершен
3630,Project 3630,2023-08-21,Завершен
3631,Project 3631,2023-09-01,Завершен
3632,Project 3632,2023-11-20,Завершен
3633,Project 3633,2023-11-28,Завершен
3634,Project 3634,2023-11-15,Завершен
3635,Project 3635,2023-04-24,Завершен
3636,Project 3636,2023-05-19,Завершен
3637,Project 3637,2023-06-08,Завершен
3638,Project 3638,2023-11-29,Завершен
3639,Project 3639,2023-03-25,В процессе
3640,Project 3640,2023-11-16,Завершен
3641,Project 3641,2023-05-14,Завершен
3642,Project 3642,2023-08-08,В процессе
3643,Project 3643,2023-06-03,В процессе
3644,Project 3644,2023-05-12,В процессе
3645,Project 3645,2023-01-07,Завершен
3646,Project 3646,2023-06-13,Завершен
3647,Project 3647,2023-09-01,Завершен
3648,Project 3648,2023-03-16,Завершен
3649,Project 3649,2023-08-25,В процессе
3650,Project 3650,2023-10-29,В процессе
3651,Project 3651,2023-10-07,В процессе
3652,Project 3652,2023-02-13,Завершен
3653,Project 3653,2023-03-05,В процессе
3654,Project 3654,2023-08-02,В процессе
3655,Project 3655,2023-07-02,В процессе
3656,Project 3656,2023-01-21,Завершен
3657,Project 3657,2023-06-01,Завершен
3658,Project 3658,2023-07-16,В процессе
3659,Project 3659,2023-02-09,Завершен
3660,Project 3660,2023-09-21,В процессе
3661,Project 3661,2023-11-11,В процессе
3662,Project 3662,2023-03-19,В процессе
3663,Project 3663,2023-01-07,Завершен
3664,Project 3664,2023-10-12,В процессе
3665,Project 3665,2023-09-22,Завершен
3666,Project 3666,2023-06-29,В процессе
3667,Project 3667,2023-04-11,В процессе
3668,Project 3668,2023-05-18,В процессе
3669,Project 3669,2023-02-07,В процессе
3670,Project 3670,2023-11-23,Завершен
3671,Project 3671,2023-12-07,Завершен
3672,Project 3672,2023-03-30,Завершен
3673,Project 3673,2023-09-12,Завершен
3674,Project 3674,2023-04-17,В процессе
3675,Project 3675,2023-06-28,Завершен
3676,Project 3676,2023-08-02,Завершен
3677,Project 3677,2023-07-03,В процессе
3678,Project 3678,2023-01-03,Завершен
3679,Project 3679,2023-08-22,Завершен
3680,Project 3680,2023-03-19,Завершен
3681,Project 3681,2023-10-27,В процессе
3682,Project 3682,2023-09-29,В процессе
3683,Project 3683,2023-05-13,Завершен
3684,Project 3684,2023-06-28,Завершен
3685,Project 3685,2023-08-12,Завершен
3686,Project 3686,2023-12-19,В процессе
3687,Project 3687,2023-08-16,Завершен
3688,Project 3688,2023-05-29,В процессе
3689,Project 3689,2023-01-15,В процессе
3690,Project 3690,2023-12-04,Завершен
3691,Project 3691,2023-10-07,Завершен
3692,Project 3692,2023-10-10,Завершен
3693,Project 3693,2023-08-02,В процессе
3694,Project 3694,2023-02-21,Завершен
3695,Project 3695,2023-03-08,Завершен
3696,Project 3696,2023-11-28,В процессе
3697,Project 3697,2023-07-25,Завершен
3698,Project 3698,2023-11-17,Завершен
3699,Project 3699,2023-03-25,В процессе
3700,Project 3700,2023-08-03,Завершен
3701,Project 3701,2023-08-03,В процессе
3702,Project 3702,2023-12-15,Завершен
3703,Project 3703,2023-12-04,Завершен
3704,Project 3704,2023-01-18,Завершен
3705,Project 3705,2023-12-11,Завершен
3706,Project 3706,2023-10-26,Завершен
3707,Project 3707,2023-07-01,В процессе
3708,Project 3708,2023-08-22,Завершен
3709,Project 3709,2023-10-02,Завершен
3710,Project 3710,2023-03-20,Завершен
3711,Project 3711,2023-07-21,В процессе
3712,Project 3712,2023-01-14,В процессе
3713,Project 3713,2023-05-04,Завершен
3714,Project 3714,2023-08-21,Завершен
3715,Project 3715,2023-12-31,Завершен
3716,Project 3716,2023-04-15,Завершен
3717,Project 3717,2023-07-06,В процессе
3718,Project 3718,2023-08-29,В процессе
3719,Project 3719,2023-06-04,Завершен
3720,Project 3720,2023-11-02,В процессе
3721,Project 3721,2023-11-02,Завершен
3722,Project 3722,2023-06-27,Завершен
3723,Project 3723,2023-02-11,В процессе
3724,Project 3724,2023-11-04,В процессе
3725,Project 3725,2023-08-30,Завершен
3726,Project 3726,2023-02-07,В процессе
3727,Project 3727,2023-01-03,Завершен
3728,Project 3728,2023-05-29,Завершен
3729,Project 3729,2023-05-27,Завершен
3730,Project 3730,2023-05-19,В процессе
3731,Project 3731,2023-06-04,Завершен
3732,Project 3732,2023-02-13,В процессе
3733,Project 3733,2023-05-20,В процессе
3734,Project 3734,2023-10-15,Завершен
3735,Project 3735,2023-08-27,В процессе
3736,Project 3736,2023-09-25,Завершен
3737,Project 3737,2023-03-27,Завершен
3738,Project 3738,2023-02-17,Завершен
3739,Project 3739,2023-01-18,Завершен
3740,Project 3740,2023-05-11,Завершен
3741,Project 3741,2023-10-15,В процессе
3742,Project 3742,2023-02-17,Завершен
3743,Project 3743,2023-01-07,Завершен
3744,Project 3744,2023-09-24,Завершен
3745,Project 3745,2023-06-06,В процессе
3746,Project 3746,2023-02-21,В процессе
3747,Project 3747,2023-08-25,В процессе
3748,Project 3748,2023-11-25,Завершен
3749,Project 3749,2023-08-19,В процессе
3750,Project 3750,2023-10-25,Завершен
3751,Project 3751,2023-11-17,В процессе
3752,Project 3752,2023-06-18,Завершен
3753,Project 3753,2023-01-18,В процессе
3754,Project 3754,2023-10-13,Завершен
3755,Project 3755,2023-03-31,В процессе
3756,Project 3756,2023-07-28,В процессе
3757,Project 3757,2023-08-20,Завершен
3758,Project 3758,2023-02-01,В процессе
3759,Project 3759,2023-09-27,В процессе
3760,Project 3760,2023-09-19,Завершен
3761,Project 3761,2023-01-29,Завершен
3762,Project 3762,2023-04-11,В процессе
3763,Project 3763,2023-01-14,Завершен
3764,Project 3764,2023-03-02,Завершен
3765,Project 3765,2023-07-04,В процессе
3766,Project 3766,2023-06-19,В процессе
3767,Project 3767,2023-11-12,В процессе
3768,Project 3768,2023-03-22,В процессе
3769,Project 3769,2023-07-16,Завершен
3770,Project 3770,2023-12-03,Завершен
3771,Project 3771,2023-04-01,Завершен
3772,Project 3772,2023-07-20,Завершен
3773,Project 3773,2023-08-30,Завершен
3774,Project 3774,2023-04-15,Завершен
3775,Project 3775,2023-07-20,Завершен
3776,Project 3776,2023-08-02,Завершен
3777,Project 3777,2023-11-07,Завершен
3778,Project 3778,2023-12-02,В процессе
3779,Project 3779,2023-04-25,В процессе
3780,Project 3780,2023-01-07,В процессе
3781,Project 3781,2023-08-06,В процессе
3782,Project 3782,2023-10-16,В процессе
3783,Project 3783,2023-07-03,Завершен
3784,Project 3784,2023-10-22,В процессе
3785,Project 3785,2023-01-10,В процессе
3786,Project 3786,2023-07-24,В процессе
3787,Project 3787,2023-10-15,Завершен
3788,Project 3788,2023-04-28,В процессе
3789,Project 3789,2023-04-19,Завершен
3790,Project 3790,2023-09-21,В процессе
3791,Project 3791,2023-07-19,В процессе
3792,Project 3792,2023-07-04,В процессе
3793,Project 3793,2023-11-14,В процессе
3794,Project 3794,2023-08-01,Завершен
3795,Project 3795,2023-08-12,Завершен
3796,Project 3796,2023-09-10,Завершен
3797,Project 3797,2023-09-02,В процессе
3798,Project 3798,2023-10-09,В процессе
3799,Project 3799,2023-10-26,В процессе
3800,Project 3800,2023-10-07,В процессе
3801,Project 3801,2023-12-26,Завершен
3802,Project 3802,2023-05-16,В процессе
3803,Project 3803,2023-05-02,Завершен
3804,Project 3804,2023-10-24,В процессе
3805,Project 3805,2023-11-25,Завершен
3806,Project 3806,2023-03-02,Завершен
3807,Project 3807,2023-03-15,Завершен
3808,Project 3808,2023-06-13,Завершен
3809,Project 3809,2023-10-13,В процессе
3810,Project 3810,2023-05-13,Завершен
3811,Project 3811,2023-07-29,Завершен
3812,Project 3812,2023-02-19,Завершен
3813,Project 3813,2023-05-21,В процессе
3814,Project 3814,2023-04-12,В процессе
3815,Project 3815,2023-12-13,В процессе
3816,Project 3816,2023-09-05,Завершен
3817,Project 3817,2023-04-19,Завершен
3818,Project 3818,2023-04-09,В процессе
3819,Project 3819,2023-09-17,В процессе
3820,Project 3820,2023-02-26,В процессе
3821,Project 3821,2023-04-30,В процессе
3822,Project 3822,2023-02-28,В процессе
3823,Project 3823,2023-06-06,Завершен
3824,Project 3824,2023-01-03,Завершен
